X, Y, frameno, Q
34.433996,59.438465,1,0.012788
29.600149,71.078475,1,0.020141
31.715857,51.865637,1,0.013673
66.187937,56.989445,1,0.011308
7.670396,45.947772,1,0.022569
37.635155,17.021824,1,0.012817
62.591058,23.385842,1,0.028759
11.179602,84.179719,1,0.018908
98.894738,3.0281,1,0.022537
84.946521,38.311036,1,0.071774
23.877296,65.08454,1,0.020692
66.428199,33.992794,1,0.018635
47.349583,75.996824,1,0.013135
1.670244,97.30714,1,0.013791
6.049882,72.248521,1,0.025835
34.627955,4.744396,1,0.040091
104.686523,39.566005,1,0.047049
27.335395,102.993949,1,0.020171
13.579792,27.539211,1,0.022286
12.616673,128.283493,1,0.009408
23.82976,25.369614,1,0.015809
56.158057,22.300183,1,0.02689
36.489069,27.130156,1,0.021874
48.921358,48.910593,1,0.017323
40.835157,53.838912,1,0.015497
59.925447,66.372842,1,0.026043
23.78507,65.039866,2,0.017778
69.059996,37.440085,2,0.019257
47.257426,75.996975,2,0.013153
1.641368,97.336014,2,0.015522
5.975908,72.310327,2,0.025919
34.685493,4.465022,2,0.044456
42.760565,38.928576,2,0.042418
125.679027,4.37415,2,0.049111
104.656284,39.39628,2,0.019917
27.397664,102.970609,2,0.02425
43.060955,62.516645,2,0.013986
30.548734,86.810078,2,0.019637
14.131081,28.140134,2,0.024921
12.510429,128.155761,2,0.006221
23.745462,25.374096,2,0.017265
13.464673,119.74087,2,0.027353
56.289774,22.341106,2,0.028574
16.764989,114.21599,2,0.021528
36.339279,27.216081,2,0.02017
48.884618,49.033497,2,0.023472
40.936968,53.920408,2,0.012139
59.942963,66.389403,2,0.016199
104.756586,39.558155,3,0.028691
27.340453,103.078974,3,0.033706
43.118255,62.502549,3,0.017952
30.64579,86.740156,3,0.022413
97.501811,71.142448,3,0.009401
22.477585,16.956644,3,0.028323
98.880106,2.750027,3,0.047408
13.565542,27.307478,3,0.017886
12.644354,127.585353,3,0.005772
23.755044,25.322543,3,0.024338
13.455543,119.774932,3,0.010642
